ticker,company_name,quarter,currency,revenue,cogs_cost_of_revenue,gross_profit,operating_expenses,operating_income,pretax_income,income_tax_expense,net_income,eps_basic,eps_diluted,consensus_eps_actual,consensus_eps_estimate,consensus_eps_surprise_pct,consensus_revenue_actual,consensus_revenue_estimate,consensus_revenue_surprise_pct,cash_and_equivalents,total_assets,total_liabilities,shareholders_equity,total_debt,operating_cash_flow,capital_expenditures,free_cash_flow,dividends_paid,share_repurchases,gross_margin,operating_margin,net_margin,free_cash_flow_margin,ebitda,revenue_qoq_growth,data_source,sec_filing_date,sec_filing_form,expected_vs_actual_source,expected_vs_actual_note,has_derived_q4_values,guidance_source,guidance_text,guidance_issued_date,guidance_target_period,guidance_revenue_low,guidance_revenue_high,guidance_revenue_mid,guidance_revenue_consensus,guidance_revenue_surprise_pct,guidance_eps_low,guidance_eps_high,guidance_eps_mid,guidance_eps_consensus,guidance_eps_surprise_pct,guidance_leakage_safe,guidance_excluded_reason,guidance_report_date,guidance_revenue_mid_vs_reported_pct,guidance_eps_mid_vs_actual_pct,guidance_cutoff_rule
NVDA,NVIDIA CORP,CY2025Q1,USD,44062000000,17394000000,26668000000,5030000000,21638000000,21910000000,3135000000,18775000000,0.77,0.76,,,,,,,15234000000,125254000000,41411000000,83843000000,8464000000,27414000000,1227000000,26187000000,244000000,14095000000,0.6052380736235304,0.49108074985248057,0.4261041260042667,0.5943216376923426,22249000000,,SEC companyfacts,2025-05-28,10-Q,,,true,,,,,,,,,,,,,,,,,,,,
NVDA,NVIDIA CORP,CY2025Q2,USD,46743000000,12890000000,33853000000,5413000000,28440000000,31206000000,4784000000,26422000000,1.08,1.08,,,,,,,11639000000,140740000000,40609000000,100131000000,8466000000,,,,244000000,,0.724236784117408,0.6084333483088377,0.5652611086151937,,,0.060846080522899554,SEC companyfacts,2025-08-27,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
NVDA,NVIDIA CORP,CY2025Q3,USD,57006000000,15157000000,41849000000,5839000000,36010000000,37936000000,6026000000,31910000000,1.31,1.3,,,,,,,11486000000,161148000000,42251000000,118897000000,7468000000,,,,,,0.7341157071185489,0.6316878925025436,0.5597656387046978,,,0.2195622874013221,SEC companyfacts,2025-11-19,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
NVDA,NVIDIA CORP,CY2025Q4,USD,68127000000,17034000000,51093000000,6794000000,44299000000,50398000000,7438000000,42960000000,,,,,,,,,10605000000,206803000000,49510000000,157293000000,7469000000,,,,,,0.7499669734466511,0.6502414608011508,0.630586991941521,,,0.1950847279233765,SEC companyfacts,2026-02-25,10-K,,,true,,,,,,,,,,,,,,,,,,,,
NVDA,NVIDIA CORP,CY2026Q1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SEC companyfacts,,,,,true,,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet Inc.,CY2025Q1,USD,90234000000,36361000000,53873000000,59628000000,30606000000,41789000000,7249000000,34540000000,2.84,2.81,,,,,,,23264000000,475374000000,130107000000,345267000000,10886000000,36150000000,17197000000,18953000000,2434000000,15068000000,0.5970365937451515,0.3391847862224882,0.38278254316554733,0.2100427776669548,,,SEC companyfacts,2025-04-25,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet Inc.,CY2025Q2,USD,96428000000,39039000000,57389000000,65157000000,31271000000,33933000000,5737000000,28196000000,2.33,2.31,,,,,,,21036000000,502053000000,139137000000,362916000000,23607000000,,,,,,0.5951487119923674,0.3242937735927324,0.2924046957315303,,,0.06864374847618414,SEC companyfacts,2025-07-24,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet Inc.,CY2025Q3,USD,102346000000,41369000000,60977000000,71118000000,31228000000,43987000000,9008000000,34979000000,2.89,2.87,,,,,,,23090000000,536469000000,149602000000,386867000000,21607000000,48414000000,23953000000,24461000000,2536000000,11504000000,0.5957927031833193,0.30512184159615424,0.34177202821800556,0.2390029898579329,,0.061372215539055044,SEC companyfacts,2025-10-30,10-Q,,,true,,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet Inc.,CY2025Q4,USD,113828000000,45766000000,68062000000,77894000000,35934000000,39117000000,4662000000,34455000000,,,,,,,,,30708000000,595281000000,180016000000,415265000000,46547000000,52402000000,27851000000,24551000000,2536000000,5499000000,0.5979372386407562,0.315686825737077,0.30269353761816076,0.2156850687001441,,0.11218806792644559,SEC companyfacts,2026-02-05,10-K,,,true,,,,,,,,,,,,,,,,,,,,
GOOGL,Alphabet Inc.,CY2026Q1,USD,109896000000,41271000000,68625000000,70200000000,39696000000,77412000000,14834000000,62578000000,5.17,5.11,,,,,,,38063000000,703919000000,225173000000,478746000000,77501000000,45790000000,35674000000,10116000000,2542000000,0,0.6244540292640315,0.36121423891679405,0.5694292785906675,0.09205066608429788,,-0.03454334610113505,SEC companyfacts,2026-04-30,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
AMZN,AMAZON COM INC,CY2025Q1,USD,155667000000,76976000000,78691000000,137262000000,18405000000,21679000000,4553000000,17127000000,1.62,1.59,,,,,,,66207000000,643256000000,,305867000000,53374000000,17015000000,25019000000,-8004000000,,,0.5055085535148747,0.11823315153500742,0.1100233190078822,-0.05141744878490624,32667000000,,SEC companyfacts,2026-04-30,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
AMZN,AMAZON COM INC,CY2025Q2,USD,167702000000,80809000000,86893000000,148531000000,19171000000,20857000000,2678000000,18164000000,1.71,1.68,,,,,,,57741000000,682170000000,,333775000000,50718000000,32515000000,32183000000,332000000,,,0.5181393185531479,0.11431586981669867,0.10831117100571251,0.0019797020906131115,34398000000,0.0773124682816525,SEC companyfacts,2025-08-01,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
AMZN,AMAZON COM INC,CY2025Q3,USD,180169000000,88670000000,91499000000,162747000000,17422000000,28170000000,6910000000,21187000000,1.98,1.95,,,,,,,66922000000,727921000000,,369631000000,50742000000,35525000000,35095000000,430000000,,,0.5078509621522015,0.09669810011711227,0.11759514677885763,0.0023866480915140783,34218000000,0.07434019868576404,SEC companyfacts,2025-10-31,10-Q,,,true,,,,,,,,,,,,,,,,,,,,
AMZN,AMAZON COM INC,CY2025Q4,USD,213386000000,109959000000,103427000000,188409000000,24977000000,26605000000,4946000000,21192000000,,,,,,,,,86810000000,818042000000,,411065000000,65648000000,54459000000,39522000000,14937000000,,,0.48469440356911886,0.11705079058607407,0.0993129821075422,0.06999990627313882,44448000000,0.18436578989726313,SEC companyfacts,2026-02-06,10-K,,,true,,,,,,,,,,,,,,,,,,,,
AMZN,AMAZON COM INC,CY2026Q1,USD,181519000000,87463000000,94056000000,157667000000,23852000000,39834000000,9560000000,30255000000,2.82,2.78,,,,,,,101816000000,916630000000,,441914000000,119074000000,26032000000,44203000000,-18171000000,,,0.5181606333221316,0.13140222235688825,0.16667676661947234,-0.10010522314468458,42797000000,-0.14933969426297883,SEC companyfacts,2026-04-30,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
META,"Meta Platforms, Inc.",CY2025Q1,USD,42314000000,7572000000,34742000000,24759000000,17555000000,18382000000,1738000000,16644000000,6.59,6.43,,,,,,,28750000000,280213000000,95184000000,185029000000,28829000000,24026000000,12941000000,11085000000,1329000000,12754000000,0.8210521340454696,0.414874509618566,0.39334499220116276,0.2619700335586331,21455000000,,SEC companyfacts,2026-04-30,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
META,"Meta Platforms, Inc.",CY2025Q2,USD,47516000000,8491000000,39025000000,27075000000,20441000000,20534000000,2197000000,18337000000,7.28,7.14,,,,,,,12005000000,294744000000,99674000000,195070000000,28832000000,,,,1327000000,,0.821302298173247,0.43019193534809325,0.38591211381429413,,,0.1229380346930094,SEC companyfacts,2025-07-31,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
META,"Meta Platforms, Inc.",CY2025Q3,USD,51242000000,9206000000,42036000000,30707000000,20535000000,21663000000,18954000000,2709000000,1.08,1.05,,,,,,,10187000000,303844000000,109778000000,194066000000,28834000000,29999000000,18829000000,11170000000,1330000000,3327000000,0.820342687639046,0.4007454822216151,0.05286678896217946,0.21798524647749892,25498000000,0.07841569155652833,SEC companyfacts,2025-10-30,10-Q,,,true,,,,,,,,,,,,,,,,,,,,
META,"Meta Platforms, Inc.",CY2025Q4,USD,59894000000,10906000000,48988000000,35149000000,24745000000,25353000000,2585000000,22768000000,,,,,,,,,35873000000,366021000000,148778000000,217243000000,58744000000,36214000000,21383000000,14831000000,1338000000,0,0.8179116439042308,0.41314655892076,0.38013824423147563,0.24762079674090895,30156000000,0.16884586862339487,SEC companyfacts,2026-01-29,10-K,,,true,,,,,,,,,,,,,,,,,,,,
META,"Meta Platforms, Inc.",CY2026Q1,USD,56311000000,10218000000,46093000000,33439000000,22872000000,21752000000,-5021000000,26773000000,10.57,10.44,,,,,,,23426000000,395250000000,151569000000,243681000000,58748000000,32226000000,18997000000,13229000000,1346000000,0,0.8185434462183232,0.40617286143027115,0.47544884658414877,0.23492745644723056,28871000000,-0.0598223528233212,SEC companyfacts,2026-04-30,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
AVGO,Broadcom Inc.,CY2025Q1,USD,15004000000,4807000000,10197000000,4368000000,5829000000,5085000000,120000000,4965000000,1.05,1.03,,,,,,,9472000000,164630000000,95044000000,69586000000,69407000000,6113000000,100000000,6013000000,2774000000,2450000000,0.6796187683284457,0.3884964009597441,0.33091175686483604,0.4007597973873634,,,SEC companyfacts,2025-06-11,10-Q,,,false,,,,,,,,,,,,,,,,,,,,
